auth_rating,beer_abv,beer_description,beer_ibu,beer_label,beer_label_hd,beer_name,beer_slug,beer_style,bid,brewery.brewery_id,brewery.brewery_label,brewery.brewery_name,brewery.brewery_slug,brewery.brewery_type,brewery.contact.facebook,brewery.contact.twitter,brewery.contact.url,brewery.country_name,brewery.location.brewery_city,brewery.location.brewery_state,brewery.location.lat,brewery.location.lng,collaborations_with.count,collaborations_with.items,created_at,is_homebrew,is_in_production,merge_details.master_bid,merge_details.merge_date,merge_details.requested_bid,rating_count,rating_score,rating_score_below,stats.monthly_count,stats.total_count,stats.total_user_count,stats.user_count,variant_parent.beer.beer_abv,variant_parent.beer.beer_name,variant_parent.beer.beer_slug,variant_parent.beer.bid,variant_parent.beer.type_id,vintage_parent.beer.beer_abv,vintage_parent.beer.beer_name,vintage_parent.beer.beer_slug,vintage_parent.beer.bid,vintage_parent.beer.type_id,vintages.count,vintages.items,weighted_rating_score,wish_list
0,11.0,"A luxurious, warming barleywine rich with aromatic hops and dark, candied fruit character that hides its epic strength masterfully.",0,https://untappd.akamaized.net/site/beer_logos/beer-3828_61e1a_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-3828_4f121_hd.jpeg,Old Horizontal,victory-brewing-company-old-horizontal,Barleywine - American,3828,1326,https://untappd.akamaized.net/site/brewery_logos/brewery-1326_6ca88.jpeg,Victory Brewing Company,victory-brewing-company,Micro Brewery,https://www.facebook.com/victorybeer,VictoryBeer,http://victorybeer.com/,United States,Downingtown,PA,40.0061,-75.6942,,,"Sat, 21 Aug 2010 09:26:35 +0000",0,1,3828.0,"Wed, 25 Jul 2012 21:21:25 +0000",14219.0,10971,3.78069,,115,14176,12492,0,,,,,,,,,,,5.0,"[{'beer': {'bid': 218815, 'beer_label': 'https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png', 'beer_slug': 'victory-brewing-company-old-horizontal-2008', 'beer_name': 'Old Horizontal (2008)', 'is_vintage': 1, 'is_variant': 0}}, {'beer': {'bid': 234238, 'beer_label': 'https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png', 'beer_slug': 'victory-brewing-company-old-horizontal-2000', 'beer_name': 'Old Horizontal (2000)', 'is_vintage': 1, 'is_variant': 0}}, {'beer': {'bid': 239381, 'beer_label': 'https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png', 'beer_slug': 'victory-brewing-company-old-horizontal-2001', 'beer_name': 'Old Horizontal (2001)', 'is_vintage': 1, 'is_variant': 0}}, {'beer': {'bid': 247969, 'beer_label': 'https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png', 'beer_slug': 'victory-brewing-company-old-horizontal-2006', 'beer_name': 'Old Horizontal (2006)', 'is_vintage': 1, 'is_variant': 0}}, {'beer': {'bid': 258128, 'beer_label': 'https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png', 'beer_slug': 'victory-brewing-company-old-horizontal-2010', 'beer_name': 'Old Horizontal (2010)', 'is_vintage': 1, 'is_variant': 0}}]",3.77718,False
0,5.6,"American amber ale, with a rich red hue. Made with American variety hops used to produce a medium-high hop bitterness, flavor, and aroma. The hops help to balance the malty caramel character. With a medium-full body, this ale has subtle fruitly aromas and flavors sure to please any beer lovers palate!
",27,https://untappd.akamaized.net/site/beer_logos/beer-_14220_105125d0e14c5a91df56d8dc1c6b.jpeg,,Tornado Alley,charleville-brewing-co-tornado-alley,Red Ale - American Amber / Red,14220,2022,https://untappd.akamaized.net/site/brewery_logos/brewery-charlevillevineyardsandmicrobrewery_2022.jpeg,Charleville Brewing Co.,charleville-brewing-co,Micro Brewery,http://www.facebook.com/pages/Charleville-Vineyard-Microbrewery/58567109268,CharlevilleBeer,http://www.charlevillevineyard.com/?location=microbrews,United States,Ste. Genevieve,MO,37.7535,-90.1488,,,"Sat, 11 Dec 2010 12:58:21 +0000",0,1,,,,2559,3.3898,,28,3430,2901,0,,,,,,,,,,,0.0,[],3.41761,False
0,7.2,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Brewmaster Series Winter White,long-trail-brewing-company-brewmaster-series-winter-white,Witbier,14221,801,https://untappd.akamaized.net/site/brewery_logos/brewery-801_0ac25.jpeg,Long Trail Brewing Company,long-trail-brewing-company,Micro Brewery,http://www.facebook.com/pages/Long-Trail-Brewing/142163634919,LongTrailBeer,http://www.longtrail.com,United States,Bridgewater Corners,VT,43.5887,-72.6589,,,"Sat, 11 Dec 2010 12:59:10 +0000",0,0,,,,19,3.75,,0,34,28,0,,,,,,,,,,,0.0,[],3.65523,False
0,9.2,"Originally brewed by English brewers in the late 1800s for export to the royal court of the Russian Empire, imperial stouts were once the private beverage of the czars. Very dark, with big roast and dark malt flavors, significantly hopped for balance against a massively chewy full body, and with a warming strength that can melt away the chills of a harsh northern winter...these are the trademarks of an imperial stout.",0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Maximilian (Max) Stout,vintage-brewing-company-maximilian-max-stout,Stout - American Imperial / Double,14222,3756,https://untappd.akamaized.net/site/brewery_logos/brewery-3756_75a71.jpeg,Vintage Brewing Company,vintage-brewing-company,Brew Pub,http://www.facebook.com/pages/Vintage-Brewing-Co/119084628122293,vintagebrewer,http://vintagebrewingco.com/,United States,Madison,WI,43.0516,-89.4737,,,"Sat, 11 Dec 2010 12:59:57 +0000",0,1,,,,656,3.86052,,30,824,713,0,,,,,,,,,,,0.0,[],3.79399,False
0,6.0,The Red Racer winter ale is a classic recipe with a smooth balance of winter spice and Northwest-style hop flavour. The hops add a bitterness to the back of the palate while the winter spices are reminiscent of your favourite holiday treat.,40,https://untappd.akamaized.net/site/beer_logos/beer-26916_35d4d_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-26916_5aad5_hd.jpeg,Red Racer Winter Ale,central-city-brewers-distillers-red-racer-winter-ale,Winter Ale,26916,357,https://untappd.akamaized.net/site/brewery_logos/brewery-357_cd993.jpeg,Central City Brewers + Distillers,central-city-brewers-distillers,Micro Brewery,http://www.facebook.com/centralcitybrewing,centralcitybrew,http://www.centralcitybrewing.com/,Canada,Surrey,BC,49.21,-122.864,,,"Thu, 27 Jan 2011 20:19:32 +0000",0,1,26916.0,"Thu, 01 Jan 1970 00:00:00 +0000",14223.0,182,3.40659,,7,352,223,0,,,,,,,,,,,0.0,[],3.55959,False
0,6.9,"Our award-winning IPA is chock-full of Chinook hops & bursting with citrusy goodness. Careful, more than one of these will getcha schnocker'd!",0,https://untappd.akamaized.net/site/beer_logos/beer-14224_1c249_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-14224_e14dc_hd.jpeg,Chinooker'd IPA,lawson-s-finest-liquids-chinooker-d-ipa,IPA - American,14224,3758,https://untappd.akamaized.net/site/brewery_logos/brewery-3758_07d3b.jpeg,Lawson's Finest Liquids,lawson-s-finest-liquids,Micro Brewery,https://www.facebook.com/LawsonsFinestLiquids,LawsonsFinest,http://www.lawsonsfinest.com,United States,Warren,VT,44.1145,-72.8561,,,"Sat, 11 Dec 2010 13:01:47 +0000",0,1,,,,2468,4.17757,,2,3852,2931,0,,,,,,,,,,,0.0,[],4.11964,False
0,4.5,"The ?Witteke? is a typical beer from the past. It was characteristic for farm-based breweries.

The craft brewers used the best ingredients from their own harvest. Blanche de Bruxelles owes its natural cloudiness to the presence of wheat (40%). During the boiling process, natural aromas are added - coriander and dried orange peel.

You will note its freshness and refinement upon tasting, typical for this extraordinary white beer. The brewing method, which includes the gradual addition of hot water, takes a long tim

Just like all the other beers produced by Lefebvre, this beer is not filtered. If served correctly, it produces a cloudy beer with a white head.",18,https://untappd.akamaized.net/site/beer_logos/beer-Blanche-de-Bruxelles.jpg,,Blanche de Bruxelles,brasserie-lefebvre-blanche-de-bruxelles,Witbier,14225,197,https://untappd.akamaized.net/site/brewery_logos/brewery-197_b0e91.jpeg,Brasserie Lefebvre,brasserie-lefebvre,Micro Brewery,http://www.facebook.com/brasserielefebvre,hopus_beer,http://www.brasserielefebvre.be,Belgium,Quenast,Brabant Wallon,50.6743,4.1521,,,"Sat, 11 Dec 2010 13:04:44 +0000",0,1,,,,52333,3.61348,,903,71362,58798,0,,,,,,,,,,,0.0,[],3.61369,False
0,9.2,"This beer may come back, but it currently is not in production.",0,https://untappd.akamaized.net/site/beer_logos/beer-_37925_sm_e6dbc1bd5ca045e488b252b5b63345.jpeg,,Bourbon Barrel Ard Ri,upland-brewing-company-bourbon-barrel-ard-ri,Red Ale - Imperial / Double,37925,1313,https://untappd.akamaized.net/site/brewery_logos/brewery-1313_d5e63.jpeg,Upland Brewing Company,upland-brewing-company,Micro Brewery,http://www.facebook.com/UplandBrewingCo,UplandBrewCo,http://www.uplandbeer.com,United States,Bloomington,IN,39.1734,-86.5375,,,"Thu, 17 Mar 2011 18:56:41 +0000",0,0,37925.0,"Thu, 01 Jan 1970 00:00:00 +0000",14226.0,9,0.0,,0,26,20,0,,,,,,,,,,,0.0,[],3.50863,False
0,10.9,,0,https://untappd.akamaized.net/site/beer_logos/beer-SantasLittleHelper2009_14227.jpeg,,Santa's Little Helper (2009),mikkeller-santa-s-little-helper-2009,Belgian Strong Dark Ale,14227,2813,https://untappd.akamaized.net/site/brewery_logos/brewery-2813_649c4.jpeg,Mikkeller,mikkeller,Micro Brewery,http://www.facebook.com/mikkeller,MikkellerBeer,http://www.mikkeller.dk,Denmark,Copenhagen,,55.6731,12.5589,,,"Sat, 11 Dec 2010 13:20:24 +0000",0,0,,,,189,3.49074,,0,260,252,0,,,,,,10.9,Santa's Little Helper (2010),mikkeller-santa-s-little-helper-2010,11029.0,91.0,,,3.58881,False
0,12.0,"Have you read the description for the regular Crooked Tree yet? Well this beer is almost the same just double the flavor and alcohol. We actually took the Crooked Tree recipe and doubled all of the ingredients except the water, just the way a DOUBLE should be made. Big hops balanced with tons of malt give this beer a huge body. Although this beer is as cool as ""The Fonz""  when first purchased, it gets really mellow and smooth with some age. After a year or two stored in a cool dark place you'll notice the heavy caramel and malt flavors are trying to sneak past the hops. This beer is hugely delicious so it will need your undivided attention (the chores can wait....trust us).",98,https://untappd.akamaized.net/site/beer_logos/beer-4537_d6b6d_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-4537_d622b_hd.jpeg,Double Crooked Tree IPA,dark-horse-brewing-co-double-crooked-tree-ipa,IPA - Imperial / Double,4537,426,https://untappd.akamaized.net/site/brewery_logos/brewery-DarkHorseBrewingCo_426.jpeg,Dark Horse Brewing Co.,dark-horse-brewing-co,Micro Brewery,http://www.facebook.com/DarkHorseBrewing,DarkHorseBrewCo,http://www.darkhorsebrewery.com,United States,Marshall,MI,42.2667,-84.9641,,,"Sat, 21 Aug 2010 09:26:35 +0000",0,1,4537.0,"Thu, 01 Jan 1970 00:00:00 +0000",14229.0,38330,4.04588,,691,60844,42061,0,,,,,,,,,,,5.0,"[{'beer': {'bid': 132977, 'beer_label': 'https://untappd.akamaized.net/site/beer_logos/beer-_132977_sm_7afdc83e8abd0d8cbee9d5209c3197.jpeg', 'beer_slug': 'dark-horse-brewing-co-double-crooked-tree-2010', 'beer_name': 'Double Crooked Tree (2010)', 'is_vintage': 1, 'is_variant': 0}}, {'beer': {'bid': 163854, 'beer_label': 'https://untappd.akamaized.net/site/beer_logos/beer-_163854_sm_0abe36b6aaebced7a243855f60079c.jpeg', 'beer_slug': 'dark-horse-brewing-co-double-crooked-tree-2012', 'beer_name': 'Double Crooked Tree (2012)', 'is_vintage': 1, 'is_variant': 0}}, {'beer': {'bid': 175884, 'beer_label': 'https://untappd.akamaized.net/site/beer_logos/beer-_175884_sm_1b8f5d5b8cd03a98fbc3a3feb31f11.jpeg', 'beer_slug': 'dark-horse-brewing-co-double-crooked-tree-2011', 'beer_name': 'Double Crooked Tree (2011)', 'is_vintage': 1, 'is_variant': 0}}, {'beer': {'bid': 303578, 'beer_label': 'https://untappd.akamaized.net/site/beer_logos/beer-_303578_sm_a8562ebd7497236d1f78e2012aa2bf.jpeg', 'beer_slug': 'dark-horse-brewing-co-double-crooked-tree-2013', 'beer_name': 'Double Crooked Tree (2013)', 'is_vintage': 1, 'is_variant': 0}}, {'beer': {'bid': 317857, 'beer_label': 'https://untappd.akamaized.net/site/beer_logos/beer-_317857_sm_c1b2e765ca8eed4e1050078ab27917.jpeg', 'beer_slug': 'dark-horse-brewing-co-double-crooked-tree-2009', 'beer_name': 'Double Crooked Tree (2009)', 'is_vintage': 1, 'is_variant': 0}}]",4.04277,False
