auth_rating,beer_abv,beer_description,beer_ibu,beer_label,beer_label_hd,beer_name,beer_slug,beer_style,bid,brewery.brewery_id,brewery.brewery_label,brewery.brewery_name,brewery.brewery_slug,brewery.brewery_type,brewery.contact.facebook,brewery.contact.twitter,brewery.contact.url,brewery.country_name,brewery.location.brewery_city,brewery.location.brewery_state,brewery.location.lat,brewery.location.lng,created_at,is_homebrew,is_in_production,merge_details.master_bid,merge_details.merge_date,merge_details.requested_bid,rating_count,rating_score,stats.monthly_count,stats.total_count,stats.total_user_count,stats.user_count,variant_parent.beer.beer_abv,variant_parent.beer.beer_name,variant_parent.beer.beer_slug,variant_parent.beer.bid,variant_parent.beer.type_id,vintage_parent.beer.beer_abv,vintage_parent.beer.beer_name,vintage_parent.beer.beer_slug,vintage_parent.beer.bid,vintage_parent.beer.type_id,vintages.count,vintages.items,weighted_rating_score,wish_list
0,8.0,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Grand Cru,black-diamond-brewing-company-grand-cru,Belgian Dubbel,20405,2267,https://untappd.akamaized.net/site/brewery_logos/brewery-2267_ad65a.jpeg,Black Diamond Brewing Company,black-diamond-brewing-company,Micro Brewery,http://www.facebook.com/pages/Black-Diamond-Brewery/196220291070?ref=nf,bdbrewingco,http://www.bdbrewing.com,United States,Concord,CA,38.0139,-122.031,"Sun, 02 Jan 2011 13:33:49 +0000",0,1,,,,74,3.40878,0,105,99,0,,,,,,,,,,,0.0,[],3.58207,False
0,6.0,"The original Amsterdam pale ale, available year round. Brewed with generous amounts of the finest East European hops for an exquisite floral citrus character and full flavour.",0,https://untappd.akamaized.net/site/beer_logos/beer-189769_a0c82_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-189769_0001b_hd.jpeg,Green Cap,butcher-s-tears-green-cap,Pale Ale - American,189769,32867,https://untappd.akamaized.net/site/brewery_logos/brewery-32867_fbda1.jpeg,Butcher's Tears,butchers-tears,Nano Brewery,https://www.facebook.com/butcherstears,,http://butchers-tears.com/,Netherlands,Amsterdam,Noord-Holland,52.3474,4.85373,"Thu, 21 Jun 2012 13:16:54 +0000",0,1,189769.0,"Mon, 09 Jul 2012 07:46:07 +0000",20406.0,2524,3.42868,91,3108,2739,0,,,,,,,,,,,0.0,[],3.45264,False
0,5.2,"2009 SILVER MEDAL L.A. INTERNATIONAL COMMERCIAL BEER COMPETITION  
2010 GOLD MEDAL L.A. INTERNATIONAL COMMERCIAL BEER COMPETITION  
  2012 SILVER MEDAL L.A. INTERNATIONAL COMMERCIAL BEER COMPETITION
Beautifully deep copper color and topped with a creamy dense head. 29 Palms Pale Ale has a mild spicy/floral aroma, and lingering hop flavor on the tongue.  Medium in body and malt flavor. Named in honor of the brave 29 Palms Marines present and past that keep us safe!  
A true ale lover?s beer!",38,https://untappd.akamaized.net/site/beer_logos/beer-20407_6b86e_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-20407_bc22b_hd.jpeg,Babe's 29 Palms Pale Ale,babe-s-bar-b-que-brewhouse-babe-s-29-palms-pale-ale,Pale Ale - English,20407,5740,https://untappd.akamaized.net/site/brewery_logos/brewery-BabesBarBQueBrewhouse_5740.jpeg,Babe's Bar-B-Que & Brewhouse,babes-barbque-brewhouse,Micro Brewery,http://www.facebook.com/Babesbbqbrewhouse,Babesbbqbrew,http://www.babesbrewhouse.com,United States,Rancho Mirage,CA,33.7406,-116.41,"Sun, 02 Jan 2011 13:42:03 +0000",0,0,,,,334,3.41916,0,416,373,0,,,,,,,,,,,0.0,[],3.51227,False
0,4.7,"This delicious pilsner beer is brewed in the tradition of the famous beers of the Caribbean Islands. Light bodied, crisp, clean and refreshing, with a great taste.",0,https://untappd.akamaized.net/site/beer_logos/beer-HurricaneReefCaribbeanStylePilsner_20408.jpeg,,Hurricane Reef Caribbean Style Pilsner,florida-beer-company-hurricane-reef-caribbean-style-pilsner,Pilsner - Other,20408,535,https://untappd.akamaized.net/site/brewery_logos/brewery-FloridaBeerCompany_535.jpeg,Florida Beer Company,florida-beer-company,Micro Brewery,http://www.facebook.com/FloridaBeerCompany,FLORIDABEER,http://www.floridabeer.com,United States,Cape Canaveral,FL,28.3994,-80.6097,"Sun, 02 Jan 2011 13:43:24 +0000",0,1,,,,2013,3.2844,54,2495,2283,0,,,,,,,,,,,0.0,[],3.33263,False
0,4.8,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Hurricane Reef Lager,florida-beer-company-hurricane-reef-lager,Lager - Pale,20409,535,https://untappd.akamaized.net/site/brewery_logos/brewery-FloridaBeerCompany_535.jpeg,Florida Beer Company,florida-beer-company,Micro Brewery,http://www.facebook.com/FloridaBeerCompany,FLORIDABEER,http://www.floridabeer.com,United States,Cape Canaveral,FL,28.3994,-80.6097,"Sun, 02 Jan 2011 13:44:20 +0000",0,1,,,,81,3.26235,2,96,92,0,,,,,,,,,,,0.0,[],3.56936,False
0,5.2,,0,https://untappd.akamaized.net/site/beer_logos/beer-20410_3a5da_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-20410_79834_hd.jpeg,Stepchild Red Ale,third-street-aleworks-california-stepchild-red-ale,Red Ale - American Amber / Red,20410,2097,https://untappd.akamaized.net/site/brewery_logos/brewery-2097_6e89c.jpeg,Third Street Aleworks (California),third-street-aleworks-california,Brew Pub,http://www.facebook.com/thirdstreetaleworks,3rdstaleworks,http://www.thirdstreetaleworks.com,United States,Santa Rosa,CA,38.4399,-122.713,"Sun, 02 Jan 2011 13:45:11 +0000",0,1,,,,209,3.35646,0,266,238,0,,,,,,,,,,,0.0,[],3.52049,False
0,4.8,"this American Pale Ale is brewed with the finest barley and hops. It has a deep red color and a thick creamy head. On the palate, a very nice balance between lightly toasty malts and a touch of caramel and honey sweetness.",0,https://untappd.akamaized.net/site/beer_logos/beer-HurricaneReefPaleAle_20411.jpeg,,Hurricane Reef Pale Ale,florida-beer-company-hurricane-reef-pale-ale,Pale Ale - American,20411,535,https://untappd.akamaized.net/site/brewery_logos/brewery-FloridaBeerCompany_535.jpeg,Florida Beer Company,florida-beer-company,Micro Brewery,http://www.facebook.com/FloridaBeerCompany,FLORIDABEER,http://www.floridabeer.com,United States,Cape Canaveral,FL,28.3994,-80.6097,"Sun, 02 Jan 2011 13:45:40 +0000",0,1,,,,1184,3.17631,26,1579,1393,0,,,,,,,,,,,0.0,[],3.27352,False
0,4.7,"    This delicious ale combines the refreshing, soft palette of malted wheat with the abundant raspberry flavor of a traditional Belgium frambozen. It is enjoyable and refreshing especially during the summer.",0,https://untappd.akamaized.net/site/beer_logos/beer-HurricaneReefRaspberryWheatAle_20412.jpeg,,Hurricane Reef Raspberry Wheat Ale,florida-beer-company-hurricane-reef-raspberry-wheat-ale,Fruit Beer,20412,535,https://untappd.akamaized.net/site/brewery_logos/brewery-FloridaBeerCompany_535.jpeg,Florida Beer Company,florida-beer-company,Micro Brewery,http://www.facebook.com/FloridaBeerCompany,FLORIDABEER,http://www.floridabeer.com,United States,Cape Canaveral,FL,28.3994,-80.6097,"Sun, 02 Jan 2011 13:47:40 +0000",0,1,,,,30,2.95,0,38,38,0,,,,,,,,,,,0.0,[],3.58727,False
0,5.02,"Brewed at the Florida Beer Co, Melbourne, under license. La tropical represents a full-bodied beer with a strong, clean import taste, that provides a pleasant drinking experience. Its rich body leaves delicate patterns of ""Brussels lace"" (small bubbles of foam) in the glass, an indicative o the high quality and freshness of La Tropical. ",0,https://untappd.akamaized.net/site/beer_logos/beer-LaTropical_20413.jpeg,,La Tropical,florida-beer-company-la-tropical,Pilsner - Other,20413,535,https://untappd.akamaized.net/site/brewery_logos/brewery-FloridaBeerCompany_535.jpeg,Florida Beer Company,florida-beer-company,Micro Brewery,http://www.facebook.com/FloridaBeerCompany,FLORIDABEER,http://www.floridabeer.com,United States,Cape Canaveral,FL,28.3994,-80.6097,"Sun, 02 Jan 2011 13:49:13 +0000",0,1,,,,226,3.06637,0,271,265,0,,,,,,,,,,,0.0,[],3.4016,False
0,5.1,A light amber lager with a hoppy flavor and bitterness balanced by a toasty maltiness. ,24,https://untappd.akamaized.net/site/beer_logos/beer-YborGoldAmberLager_20414.jpeg,,Ybor Gold Amber Lager,florida-beer-company-ybor-gold-amber-lager,Lager - Vienna,20414,535,https://untappd.akamaized.net/site/brewery_logos/brewery-FloridaBeerCompany_535.jpeg,Florida Beer Company,florida-beer-company,Micro Brewery,http://www.facebook.com/FloridaBeerCompany,FLORIDABEER,http://www.floridabeer.com,United States,Cape Canaveral,FL,28.3994,-80.6097,"Sun, 02 Jan 2011 13:51:00 +0000",0,1,,,,3323,3.1844,55,4279,3783,0,,,,,,,,,,,0.0,[],3.22362,False
