auth_rating,beer_abv,beer_description,beer_ibu,beer_label,beer_label_hd,beer_name,beer_slug,beer_style,bid,brewery.brewery_id,brewery.brewery_label,brewery.brewery_name,brewery.brewery_slug,brewery.brewery_type,brewery.contact.facebook,brewery.contact.twitter,brewery.contact.url,brewery.country_name,brewery.location.brewery_city,brewery.location.brewery_state,brewery.location.lat,brewery.location.lng,collaborations_with.count,collaborations_with.items,created_at,is_homebrew,is_in_production,merge_details.master_bid,merge_details.merge_date,merge_details.requested_bid,rating_count,rating_score,rating_score_below,stats.monthly_count,stats.total_count,stats.total_user_count,stats.user_count,vintage_parent.beer.beer_abv,vintage_parent.beer.beer_name,vintage_parent.beer.beer_slug,vintage_parent.beer.bid,vintage_parent.beer.type_id,vintages.count,vintages.items,weighted_rating_score,wish_list
0,10.5,"This titanic, immensely viscous stout is loaded with inimitable flavors of chocolate-covered caramel and coffee and hide a hefty 65 IBUs underneath the smooth blanket of malt. It is made with enormous amounts of two-row malt, chocolate malt, roasted barley, flaked oats and hops.",65,https://untappd.akamaized.net/site/beer_logos/beer-4744_50892_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-4744_49ff0_hd.jpeg,Ten FIDY,oskar-blues-brewery-ten-fidy,Stout - American Imperial / Double,4744,956,https://untappd.akamaized.net/site/brewery_logos/brewery-oskarBlues.jpg,Oskar Blues Brewery,oskar-blues-brewery,Micro Brewery,https://www.facebook.com/OskarBluesCANS/,oskarblues,http://www.oskarblues.com/,United States,Longmont,CO,40.1391,-105.122,,,"Sat, 21 Aug 2010 09:26:35 +0000",0,1,4744.0,"Thu, 01 Jan 1970 00:00:00 +0000",30915.0,114916,4.11573,,1656,188341,125903,0,,,,,,5.0,"[{'beer': {'bid': 84062, 'beer_label': 'https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png', 'beer_slug': 'oskar-blues-brewery-ten-fidy-stranahan-s-barrel-aged-w-cherries', 'beer_name': ""Ten FIDY (Stranahan's Barrel Aged w/ Cherries)"", 'is_vintage': 0, 'is_variant': 1}}, {'beer': {'bid': 137078, 'beer_label': 'https://untappd.akamaized.net/site/beer_logos/beer-TenFIDY2009_137078.jpeg', 'beer_slug': 'oskar-blues-brewery-ten-fidy-2009', 'beer_name': 'Ten FIDY (2009)', 'is_vintage': 1, 'is_variant': 0}}, {'beer': {'bid': 138774, 'beer_label': 'https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png', 'beer_slug': 'oskar-blues-brewery-ten-fidy-wild-turkey-barrel-aged', 'beer_name': 'Ten FIDY (Wild Turkey Barrel-Aged)', 'is_vintage': 0, 'is_variant': 1}}, {'beer': {'bid': 147954, 'beer_label': 'https://untappd.akamaized.net/site/beer_logos/beer-TenFIDY2010_147954.jpeg', 'beer_slug': 'oskar-blues-brewery-ten-fidy-2010', 'beer_name': 'Ten FIDY (2010)', 'is_vintage': 1, 'is_variant': 0}}, {'beer': {'bid': 164222, 'beer_label': 'https://untappd.akamaized.net/site/beer_logos/beer-TenFidy2008_164222.jpeg', 'beer_slug': 'oskar-blues-brewery-ten-fidy-2008', 'beer_name': 'Ten FIDY (2008)', 'is_vintage': 1, 'is_variant': 0}}]",4.1145,False
0,6.7,"An American Red Rye Ale, this beer is medium in body with some malty sweetness, and plenty of citrus from the hops.
",40,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Rope Tug Rye,marley-s-brewery-and-grille-rope-tug-rye,Rye Beer,30916,8215,https://untappd.akamaized.net/site/brewery_logos/brewery-8215_8c707.jpeg,Marley's Brewery and Grille,marley-s-brewery-and-grille,Brew Pub,http://www.facebook.com/MarleysBrew,MarleysBrewery,http://marleysbrewery.com/,United States,Bloomsburg,PA,41.003,-76.4569,,,"Wed, 16 Feb 2011 01:37:39 +0000",0,1,,,,157,3.42994,,0,212,173,0,,,,,,0.0,[],3.56004,False
0,6.2,"A Full Bodied Robust Porter with tons of Coffee and Chocolate Flavors.  Great for the Dark Beer Lovers.
",40,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Guard Dog Porter,marley-s-brewery-and-grille-guard-dog-porter,Porter - Other,30917,8215,https://untappd.akamaized.net/site/brewery_logos/brewery-8215_8c707.jpeg,Marley's Brewery and Grille,marley-s-brewery-and-grille,Brew Pub,http://www.facebook.com/MarleysBrew,MarleysBrewery,http://marleysbrewery.com/,United States,Bloomsburg,PA,41.003,-76.4569,,,"Wed, 16 Feb 2011 01:39:24 +0000",0,1,,,,360,3.54028,,4,473,415,0,,,,,,0.0,[],3.59122,False
0,6.0,"Irish Red Ale, a great choice for people wanting a truly well balanced offering.
",35,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Dog Runner Red,marley-s-brewery-and-grille-dog-runner-red,Red Ale - Irish,30918,8215,https://untappd.akamaized.net/site/brewery_logos/brewery-8215_8c707.jpeg,Marley's Brewery and Grille,marley-s-brewery-and-grille,Brew Pub,http://www.facebook.com/MarleysBrew,MarleysBrewery,http://marleysbrewery.com/,United States,Bloomsburg,PA,41.003,-76.4569,,,"Wed, 16 Feb 2011 01:41:44 +0000",0,1,,,,325,3.41,,0,417,385,0,,,,,,0.0,[],3.52613,False
0,5.0,"German Kolsch Ale, both light in body and color.
A nice session beer that?s great all year round.
",17,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Kong Kolsch,marley-s-brewery-and-grille-kong-kolsch,K?lsch,30919,8215,https://untappd.akamaized.net/site/brewery_logos/brewery-8215_8c707.jpeg,Marley's Brewery and Grille,marley-s-brewery-and-grille,Brew Pub,http://www.facebook.com/MarleysBrew,MarleysBrewery,http://marleysbrewery.com/,United States,Bloomsburg,PA,41.003,-76.4569,,,"Wed, 16 Feb 2011 01:43:39 +0000",0,0,,,,475,3.35211,,2,628,544,0,,,,,,0.0,[],3.46895,False
0,6.0,"West Coast Style India Pale Ale, Light to Medium in Body Full of Citrus Flavor, it?s sure to please all the Hop Heads.
",68,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Tire Chaser IPA,marley-s-brewery-and-grille-tire-chaser-ipa,IPA - American,30920,8215,https://untappd.akamaized.net/site/brewery_logos/brewery-8215_8c707.jpeg,Marley's Brewery and Grille,marley-s-brewery-and-grille,Brew Pub,http://www.facebook.com/MarleysBrew,MarleysBrewery,http://marleysbrewery.com/,United States,Bloomsburg,PA,41.003,-76.4569,,,"Wed, 16 Feb 2011 01:45:38 +0000",0,1,,,,567,3.43166,,0,797,653,0,,,,,,0.0,[],3.50792,False
0,0.0,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Russian Imperial Stout,misselhorn-brauerei-russian-imperial-stout,Stout - Russian Imperial,30921,8216,https://untappd.akamaized.net/site/assets/images/temp/badge-brewery-default.png,Misselhorn Brauerei,misselhorn-brauerei,Home Brewery,,,,United States,,,0.0,0.0,,,"Wed, 16 Feb 2011 01:46:23 +0000",1,1,,,,1,0.0,,0,5,3,0,,,,,,0.0,[],2.524,False
0,5.3,"A Belgian Style White Ale, spiced with Whole Coriander Seed, Bitter
Orange Peel, and Whole Oranges.  A very tasty Belgian Wheat Beer.
",15,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Wagging Tail Wit,marley-s-brewery-and-grille-wagging-tail-wit,Witbier,30922,8215,https://untappd.akamaized.net/site/brewery_logos/brewery-8215_8c707.jpeg,Marley's Brewery and Grille,marley-s-brewery-and-grille,Brew Pub,http://www.facebook.com/MarleysBrew,MarleysBrewery,http://marleysbrewery.com/,United States,Bloomsburg,PA,41.003,-76.4569,,,"Wed, 16 Feb 2011 01:47:22 +0000",0,1,,,,111,3.44595,,0,139,129,0,,,,,,0.0,[],3.58208,False
0,0.0,9.1% Alcohol,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Brown Ale,home-brewer-jm-brown-ale,Brown Ale - American,30923,7520,https://untappd.akamaized.net/site/assets/images/temp/badge-brewery-default.png,Home Brewer - JM,home-brewer-jm,Home Brewery,,,,United States,,,0.0,0.0,,,"Wed, 16 Feb 2011 02:07:23 +0000",1,1,,,,2,0.0,,0,11,5,0,,,,,,0.0,[],1.893,False
0,7.0,"Death by Hops IPA was the winner of Olde Hickory's first Pro-Am (2010). The beer was designed by Alex Buerckholtz, award winner homebrewer and proprietor of Hops and Vines in Asheville, NC. Brewed with 2 row barley, hopped with 5 different west coast hops, then twice dry hopped.",108,https://untappd.akamaized.net/site/beer_logos/beer-25479_268f9_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-25479_f6a9c_hd.jpeg,Death By Hops,olde-hickory-brewery-death-by-hops,IPA - American,25479,2957,https://untappd.akamaized.net/site/brewery_logos/brewery-2957_bdd51.jpeg,Olde Hickory Brewery,olde-hickory-brewery,Micro Brewery,https://www.facebook.com/OldeHickoryBrewery,oldehickory,http://www.oldehickorybrewery.com,United States,Hickory,NC,35.7314,-81.342,,,"Thu, 20 Jan 2011 21:09:05 +0000",0,1,25479.0,"Fri, 20 Jan 2012 16:36:28 +0000",30924.0,12667,3.77789,,161,20306,14263,0,,,,,,0.0,[],3.7749,False
