auth_rating,beer_abv,beer_description,beer_ibu,beer_label,beer_label_hd,beer_name,beer_slug,beer_style,bid,brewery.brewery_id,brewery.brewery_label,brewery.brewery_name,brewery.brewery_slug,brewery.brewery_type,brewery.contact.facebook,brewery.contact.twitter,brewery.contact.url,brewery.country_name,brewery.location.brewery_city,brewery.location.brewery_state,brewery.location.lat,brewery.location.lng,collaborations_with.count,collaborations_with.items,created_at,is_homebrew,is_in_production,merge_details.master_bid,merge_details.merge_date,merge_details.requested_bid,rating_count,rating_score,rating_score_below,stats.monthly_count,stats.total_count,stats.total_user_count,stats.user_count,vintages.count,vintages.items,weighted_rating_score,wish_list
0,0.0,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Witbier,dayton-delight-witbier,Witbier,29474,7523,https://untappd.akamaized.net/site/assets/images/temp/badge-brewery-default.png,Dayton Delight,dayton-delight,Home Brewery,,,,United States,,,0.0,0.0,,,"Wed, 09 Feb 2011 05:14:36 +0000",1,1,,,,0,0.0,,0,4,2,0,0,[],3.786,False
0,9.2,Imperial IPA,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Hop Head,bend-brewing-co-hop-head,IPA - Imperial / Double,9834,3076,https://untappd.akamaized.net/site/brewery_logos/brewery-3076_cb196.jpeg,Bend Brewing Company,bend-brewing-company,Micro Brewery,http://www.facebook.com/pages/Bend-Brewing-Co/127868767226951,bend_brewingco,http://www.bendbrewingco.com/,United States,Bend,OR,44.0604,-121.314,,,"Thu, 18 Nov 2010 14:42:47 +0000",0,1,9834.0,"Thu, 01 Jan 1970 00:00:00 +0000",29475.0,0,0.0,True,0,0,0,0,0,[],0.0,False
0,4.5,,40,https://untappd.akamaized.net/site/beer_logos/beer-LilsPils_29476.jpeg,,Lil's Pils,seven-brides-brewing-lil-s-pils,Pilsner - Other,29476,7177,https://untappd.akamaized.net/site/brewery_logos/brewery-SevenBridesBrewing_7177.jpeg,Seven Brides Brewing,seven-brides-brewing,Micro Brewery,http://www.facebook.com/sevenbrides,sevenbridesbrew,http://sevenbridesbrewing.com,United States,Silverton,OR,45.0135,-122.784,,,"Wed, 09 Feb 2011 05:23:09 +0000",0,1,,,,557,3.2904,,6,739,638,0,0,[],3.41802,False
0,6.0,,0,https://untappd.akamaized.net/site/beer_logos/beer-29477_d6691_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-29477_c1387_hd.jpeg,Sidra Trabanco,sidra-trabanco-sidra-trabanco,Cider,29477,6382,https://untappd.akamaized.net/site/brewery_logos/brewery-6382_43bf2.jpeg,Sidra Trabanco,sidra-trabanco,Micro Brewery,https://www.facebook.com/pages/Sidra-Trabanco/130055893714277?fref=ts,SidraTrabanco,http://www.sidratrabanco.com,Spain,33350 Gij?n,Asturias,43.4681,-5.6431,,,"Wed, 09 Feb 2011 05:24:28 +0000",0,1,,,,945,3.43942,,44,1169,1055,0,2,"[{'beer': {'bid': 939965, 'beer_label': 'https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png', 'beer_slug': 'sidra-trabanco-2013-dry-cider', 'beer_name': '2013 Dry Cider', 'is_vintage': 1, 'is_variant': 0}}, {'beer': {'bid': 1436570, 'beer_label': 'https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png', 'beer_slug': 'sidra-trabanco-2016-dry-cider', 'beer_name': '2016 Dry Cider', 'is_vintage': 1, 'is_variant': 0}}]",3.49107,False
0,5.8,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Dumb Luck Pale Ale,lazy-boy-brewing-dumb-luck-pale-ale,Pale Ale - American,29478,1904,https://untappd.akamaized.net/site/brewery_logos/brewery-1904_a700e.jpeg,Lazy Boy Brewing,lazy-boy-brewing,Micro Brewery,,lazyboybrewing,http://www.lazyboybrewing.com/,United States,Everett,WA,47.9081,-122.222,,,"Wed, 09 Feb 2011 05:29:46 +0000",0,0,,,,46,3.25543,,0,79,62,0,0,[],3.59828,False
0,7.7,,56,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Herbst Schwarz,low-dive-brewing-herbst-schwarz,Schwarzbier,29479,4950,https://untappd.akamaized.net/site/brewery_logos/brewery-lowdivebrewing_4950.jpeg,Low Dive Brewing,low-dive-brewing,Home Brewery,http://www.facebook.com/LowDiveBrewing,lowdivebrewing,http://lowdive.com,United States,Chicago,IL,0.0,0.0,,,"Wed, 09 Feb 2011 05:47:44 +0000",1,0,,,,5,0.0,,0,13,8,0,0,[],1.08171,False
0,7.0,"La Folie Wood-Aged Biere, is our original wood-conditioned beer, resting in French Oak barrels between one and three years before being bottled. Peter Bouckaert, came to us from Rodenbach home of the fabled sour red. Our La Folie emulates the spontaneous fermentation beers of Peter s beloved Flanders with sour apple notes, a dry effervescence, and earthy undertones. 

New in 2010, we'll do a single bottling of La Folie for the year. Collect the 22oz unique to 2010 designed bottle and start a yearly wood-aged collection of goodness.",18,https://untappd.akamaized.net/site/beer_logos/beer-newBelgiumLaFolie.jpg,,La Folie (Lips of Faith),new-belgium-brewing-company-la-folie-lips-of-faith,Sour - Flanders Oud Bruin,439,905,https://untappd.akamaized.net/site/brewery_logos/brewery-905_2ddc7.jpeg,New Belgium Brewing Company,new-belgium-brewing-company,Micro Brewery,http://www.facebook.com/newbelgium,newbelgium,http://www.newbelgium.com,United States,Fort Collins,CO,40.5934,-105.067,,,"Sat, 21 Aug 2010 09:26:35 +0000",0,1,439.0,"Thu, 01 Jan 1970 00:00:00 +0000",29480.0,45211,3.96584,,1009,61685,51554,0,5,"[{'beer': {'bid': 68259, 'beer_label': 'https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png', 'beer_slug': 'new-belgium-brewing-company-la-folie-2007', 'beer_name': 'La Folie (2007)', 'is_vintage': 1, 'is_variant': 0}}, {'beer': {'bid': 73501, 'beer_label': 'https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png', 'beer_slug': 'new-belgium-brewing-company-la-folie-2003', 'beer_name': 'La Folie (2003)', 'is_vintage': 1, 'is_variant': 0}}, {'beer': {'bid': 73502, 'beer_label': 'https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png', 'beer_slug': 'new-belgium-brewing-company-la-folie-2005', 'beer_name': 'La Folie (2005)', 'is_vintage': 1, 'is_variant': 0}}, {'beer': {'bid': 73505, 'beer_label': 'https://untappd.akamaized.net/site/beer_logos/beer-LaFolieLipsofFaith2009_73505.jpeg', 'beer_slug': 'new-belgium-brewing-company-la-folie-lips-of-faith-2009', 'beer_name': 'La Folie (Lips of Faith) (2009)', 'is_vintage': 1, 'is_variant': 0}}, {'beer': {'bid': 76649, 'beer_label': 'https://untappd.akamaized.net/site/beer_logos/beer-LaFolie2010LipsofFaith_76649.jpeg', 'beer_slug': 'new-belgium-brewing-company-la-folie-lips-of-faith-2010', 'beer_name': 'La Folie (Lips of Faith) (2010)', 'is_vintage': 1, 'is_variant': 0}}]",3.96373,False
0,4.2,"With premium taste at a great value, Old German is perfect for sharing. Kick back and relax at your next get-together with this crisp, refreshing lager.",0,https://untappd.akamaized.net/site/beer_logos/beer-OldGerman_12440.jpeg,,Old German,pittsburgh-brewing-company-old-german,Lager - North American Adjunct,12440,7967,https://untappd.akamaized.net/site/brewery_logos/brewery-PittsburghBrewingCompany_7967.jpeg,Pittsburgh Brewing Company,pittsburgh-brewing-company,Micro Brewery,https://www.facebook.com/PittsburghBrewingCompany,drinkironcity,http://www.pittsburghbrewing.com/,United States,Pittsburgh,PA,40.461,-79.9653,,,"Thu, 02 Dec 2010 15:03:30 +0000",0,1,12440.0,"Thu, 03 Nov 2011 14:03:37 +0000",29481.0,3308,2.64223,,74,5846,3880,0,0,[],2.7274,False
0,0.0,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Dark Road,ten-dudes-dark-road,Stout - Russian Imperial,29482,5353,https://untappd.akamaized.net/site/brewery_logos/brewery-TenDudes_5353.jpeg,Ten Dudes,ten-dudes,Home Brewery,,tendudes,http://tendudes.com,United States,Brooklyn / Jersey City,,0.0,0.0,,,"Wed, 09 Feb 2011 06:18:14 +0000",1,1,,,,0,0.0,,0,3,1,0,0,[],3.786,False
0,6.1,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Dumb Luck Amber,lazy-boy-brewing-dumb-luck-amber,Red Ale - American Amber / Red,29483,1904,https://untappd.akamaized.net/site/brewery_logos/brewery-1904_a700e.jpeg,Lazy Boy Brewing,lazy-boy-brewing,Micro Brewery,,lazyboybrewing,http://www.lazyboybrewing.com/,United States,Everett,WA,47.9081,-122.222,,,"Wed, 09 Feb 2011 06:27:00 +0000",0,1,,,,51,3.32353,,0,61,60,0,0,[],3.59645,False
