auth_rating,beer_abv,beer_description,beer_ibu,beer_label,beer_label_hd,beer_name,beer_slug,beer_style,bid,brewery.brewery_id,brewery.brewery_label,brewery.brewery_name,brewery.brewery_slug,brewery.brewery_type,brewery.contact.facebook,brewery.contact.twitter,brewery.contact.url,brewery.country_name,brewery.location.brewery_city,brewery.location.brewery_state,brewery.location.lat,brewery.location.lng,created_at,is_homebrew,is_in_production,merge_details.master_bid,merge_details.merge_date,merge_details.requested_bid,rating_count,rating_score,rating_score_below,stats.monthly_count,stats.total_count,stats.total_user_count,stats.user_count,variant_parent.beer.beer_abv,variant_parent.beer.beer_name,variant_parent.beer.beer_slug,variant_parent.beer.bid,variant_parent.beer.type_id,vintages.count,vintages.items,weighted_rating_score,wish_list
0,5.5,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Kelso Flemish Red,kelso-of-brooklyn-kelso-flemish-red,Sour - Flanders Red Ale,25509,1954,https://untappd.akamaized.net/site/brewery_logos/brewery-KelsoofBrooklyn_1954.jpeg,KelSo Beer Company,kelso-beer-company,Micro Brewery,https://www.facebook.com/KelSo-Beer-Company-of-Brooklyn-6139352565,KelsoBeer,http://www.kelsobeer.com,United States,Brooklyn,NY,40.6823,-73.9656,"Fri, 21 Jan 2011 00:55:09 +0000",0,1,,,,298,3.60906,,0,403,380,0,,,,,,0.0,[],3.62982,False
0,0.0,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Amber Ale,homebrew-amber-ale,Red Ale - American Amber / Red,25510,1775,https://untappd.akamaized.net/site/assets/images/temp/badge-brewery-default.png,Homebrew,homebrew,Home Brewery,,,,Other,,,0.0,0.0,"Fri, 21 Jan 2011 00:55:21 +0000",1,1,,,,0,0.0,,0,5,5,0,,,,,,0.0,[],3.786,False
0,8.8,,0,https://untappd.akamaized.net/site/beer_logos/beer-JacobsWinterCelebrationBeaujolaisCask_25512.jpeg,,Jacob's Winter Celebration Beaujolais Cask,oliver-breweries-pratt-street-ale-house-jacob-s-winter-celebration-beaujolais-cask,Winter Ale,25512,10239,https://untappd.akamaized.net/site/brewery_logos/brewery-10239_006cc.jpeg,Oliver Brewing Co.,oliver-brewing-co,Micro Brewery,https://www.facebook.com/oliverbrewco/?fref=ts,OliverBrewingCo,http://www.oliverbrewingco.com,United States,Baltimore,MD,39.2866,-76.6182,"Fri, 21 Jan 2011 01:01:57 +0000",0,1,,,,8,0.0,,0,18,14,0,,,,,,0.0,[],3.47245,False
0,8.0,"A strong, hoppy version of a Belgian ale, with reddish/orange tints.",0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Houblon Rouge,beer-works-boston-salem-hingham-lowell-framingham-houblon-rouge,Red Ale - American Amber / Red,25513,158,https://untappd.akamaized.net/site/brewery_logos/brewery-BeerWorks_158.jpeg,"Beer Works (Boston, Salem, Hingham, Lowell, Framingham)",beer-works-boston-salem-hingham-lowell-framingham,Micro Brewery,,beer_works,http://www.beerworks.net,United States,Boston,MA,42.347,-71.0988,"Fri, 21 Jan 2011 01:03:09 +0000",0,0,,,,214,3.43341,,0,277,258,0,,,,,,0.0,[],3.56062,False
0,12.75,"Once again the brewers at CBC have thrown caution to the wind in our latest annual effort to create the biggest, baddest, strongest, bestest beer around. Double-mashed with nearly a ton of malt, five different hops, and cold-aged several months with French Limousine oak, this extraordinary, complex ale boasts flavors and aromas of caramel, dried fruit, vanilla, oak, toffee, spicy hops, and a warming alcohol finish. Very rich and full-bodied, it is unfiltered and unfined.",0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Blunderbuss,cambridge-brewing-co-blunderbuss,Barleywine - American,25514,1506,https://untappd.akamaized.net/site/brewery_logos/brewery-CambridgeBrewingCo_1506.jpeg,Cambridge Brewing Company,cambridge-brewing-company,Micro Brewery,http://www.facebook.com/cambridgebrewing,CamBrewingCo,http://www.cambrew.com/,United States,Cambridge,MA,42.3663,-71.0906,"Fri, 21 Jan 2011 01:04:20 +0000",0,1,,,,555,3.8491,,25,704,641,0,,,,,,5.0,"[{'beer': {'bid': 115721, 'beer_label': 'https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png', 'beer_slug': 'cambridge-brewing-co-blunderbuss-2010', 'beer_name': 'Blunderbuss (2010)', 'is_vintage': 1, 'is_variant': 0}}, {'beer': {'bid': 120802, 'beer_label': 'https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png', 'beer_slug': 'cambridge-brewing-co-blunderbuss-2011', 'beer_name': 'Blunderbuss (2011)', 'is_vintage': 1, 'is_variant': 0}}, {'beer': {'bid': 124109, 'beer_label': 'https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png', 'beer_slug': 'cambridge-brewing-co-blunderbuss-2007', 'beer_name': 'Blunderbuss (2007)', 'is_vintage': 1, 'is_variant': 0}}, {'beer': {'bid': 124128, 'beer_label': 'https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png', 'beer_slug': 'cambridge-brewing-co-blunderbuss-2006', 'beer_name': 'Blunderbuss (2006)', 'is_vintage': 1, 'is_variant': 0}}, {'beer': {'bid': 124135, 'beer_label': 'https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png', 'beer_slug': 'cambridge-brewing-co-blunderbuss-2008', 'beer_name': 'Blunderbuss (2008)', 'is_vintage': 1, 'is_variant': 0}}]",3.77883,False
0,6.2,"In Montana, many classic memories are made right after someone says, ?Hold my beer and watch this.? These bold, assertive moments deserve a bold, assertive beer ? Big Sky IPA. A distinct hop presence and malty backbone will leave you refreshed and ready for your moment of glory. Hang on tight and enjoy the ride.",65,https://untappd.akamaized.net/site/beer_logos/beer-IPA_16981.jpeg,,IPA,big-sky-brewing-company-ipa,IPA - American,16981,2927,https://untappd.akamaized.net/site/brewery_logos/brewery-BigSkyBrewingCompany_2927.jpeg,Big Sky Brewing Company,big-sky-brewing-company,Micro Brewery,http://www.facebook.com/BigSkyBrewingCompany,BigSkyBrewing,http://www.bigskybrew.com,United States,Missoula,MT,46.9223,-114.073,"Sat, 25 Dec 2010 08:13:28 +0000",0,1,16981.0,"Thu, 01 Jan 1970 00:00:00 +0000",25515.0,24831,3.49798,,265,35796,27967,0,,,,,,0.0,[],3.49983,False
0,0.0,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Merlot Stout,ska-brewing-merlot-stout,Stout - Other,31915,1150,https://untappd.akamaized.net/site/brewery_logos/brewery-SkaBrewingCompany_1150.jpeg,Ska Brewing,ska-brewing,Micro Brewery,http://www.facebook.com/skabrew,skabrewing,www.skabrewing.com,United States,Durango,CO,37.2388,-107.876,"Sun, 20 Feb 2011 01:38:11 +0000",0,1,31915.0,"Fri, 13 Jul 2012 05:27:29 +0000",25516.0,0,0.0,True,0,0,0,0,,,,,,0.0,[],0.0,False
0,0.0,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Downtown Brown,red-jacket-brewing-company-downtown-brown,Brown Ale - American,25518,7036,https://untappd.akamaized.net/site/brewery_logos/brewery-RedJacketBrewingCo_7036.jpeg,Red Jacket Brewing Company,red-jacket-brewing-company,Micro Brewery,,,www.michiganhousecafe.com/brewpub.html,United States,Calumet,MI,47.2465,-88.4535,"Fri, 21 Jan 2011 01:15:56 +0000",0,1,,,,168,3.26786,,4,205,195,0,,,,,,0.0,[],3.51489,False
0,5.25,This delightfully floral American style Amber Ale displays a wonderful balance while still maintaining a profound hoppy goodness. We load this beer with a ridiculous and obscene amount of West Coast hops that are added late in the boil resulting in a hoppy beer without any bitterness.,25,https://untappd.akamaized.net/site/beer_logos/beer-25519_56fa9_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-25519_cd8f4_hd.jpeg,Crazy Mountain Amber Ale,crazy-mountain-brewing-company-crazy-mountain-amber-ale,Red Ale - American Amber / Red,25519,4948,https://untappd.akamaized.net/site/brewery_logos/brewery-4948_1201c.jpeg,Crazy Mountain Brewing Company,crazy-mountain-brewing-company,Micro Brewery,https://www.facebook.com/crazymountainbrewery,crazymtnbrewery,http://www.crazymountainbrewery.com/,United States,Edwards,CO,39.6488,-106.589,"Fri, 21 Jan 2011 01:20:33 +0000",0,1,,,,12567,3.33477,,241,16023,14068,0,,,,,,0.0,[],3.34226,False
0,4.5,Our lightest beer on tap.  Easy drinking with low hop and malt flavoring.  A great all around session beer and very refreshing during those hot St. Louis summers.,12,https://untappd.akamaized.net/site/beer_logos/beer-GoldenBlonde_25520.jpeg,,Golden Blonde,ferguson-brewing-company-golden-blonde,Blonde Ale,25520,35038,https://untappd.akamaized.net/site/brewery_logos/brewery-FergusonBrewingCompany_35038_f37d0.jpeg,Ferguson Brewing Company,ferguson-brewing-company,Brew Pub,,,fergusonbrewing.com,United States,Ferguson,MO,38.7382,-90.3025,"Fri, 21 Jan 2011 01:20:58 +0000",0,1,,,,333,3.41066,,11,409,385,0,,,,,,0.0,[],3.52556,False
